start_time	query_s	lock_s	rows_ex	rows_sent	sql_text
18:41:37.609880	00.000407	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.610999	00.000358	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.614966	00.000571	00.000005	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.615444	00.000256	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.615895	00.000241	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.617801	00.000388	00.000005	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.617801	00.000210	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.618401	00.000233	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.621028	00.000246	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.621031	00.000344	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.621077	00.000345	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.621187	00.000420	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.621279	00.000133	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.621765	00.001078	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.622417	00.000378	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.623037	00.000261	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.623353	00.000203	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.623738	00.000196	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.625300	00.000404	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.626831	00.000268	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.627652	00.000557	00.000002	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.647222	00.018931	00.018322	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.651246	00.000301	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.656059	00.000401	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
